kg: 0.0, value: 0
kg: 0.1, value: 0
kg: 0.2, value: 0
kg: 0.3, value: 0
kg: 0.4, value: 0
kg: 0.5, value: 3.288
kg: 0.6, value: 0
kg: 0.7, value: 0
kg: 0.8, value: 0
kg: 0.9, value: 0
kg: 1.0, value: 0
kg: 1.1, value: 0
kg: 1.2, value: 0
kg: 1.3, value: 0
kg: 1.4, value: 0
kg: 1.5, value: 0
kg: 1.6, value: 0
kg: 1.7, value: 0
kg: 1.8, value: 0
kg: 1.9, value: 0
kg: 2.0, value: 0
kg: 2.1, value: 0
kg: 2.2, value: 0
kg: 2.3, value: 0
kg: 2.4, value: 0
kg: 2.5, value: 0
kg: 2.6, value: 0
kg: 2.7, value: 0
kg: 2.8, value: 0
kg: 2.9, value: 0
kg: 3.0, value: 0
kg: 3.1, value: 0
kg: 3.2, value: 0
kg: 3.3, value: 0
kg: 3.4, value: 0
kg: 3.5, value: 0
kg: 3.6, value: 0
kg: 3.7, value: 0
kg: 3.8, value: 0
kg: 3.9, value: 0
kg: 4.0, value: 0
kg: 4.1, value: 0
kg: 4.2, value: 0
kg: 4.3, value: 0
kg: 4.4, value: 0
kg: 4.5, value: 0
kg: 4.6, value: 0
kg: 4.7, value: 0
kg: 4.8, value: 0
kg: 4.9, value: 0
kg: 5.0, value: 0
kg: 5.1, value: 0
kg: 5.2, value: 0
kg: 5.3, value: 0
kg: 5.4, value: 0
kg: 5.5, value: 0
kg: 5.6, value: 0
kg: 5.7, value: 0
kg: 5.8, value: 0
kg: 5.9, value: 0
kg: 6.0, value: 0
kg: 6.1, value: 0
kg: 6.2, value: 0
kg: 6.3, value: 0
kg: 6.4, value: 0
kg: 6.5, value: 0
kg: 6.6, value: 0
kg: 6.7, value: 0
kg: 6.8, value: 0
kg: 6.9, value: 0
kg: 7.0, value: 0
kg: 7.1, value: 0
kg: 7.2, value: 0
kg: 7.3, value: 0
kg: 7.4, value: 0
kg: 7.5, value: 0
kg: 7.6, value: 0
kg: 7.7, value: 0
kg: 7.8, value: 0
kg: 7.9, value: 0
kg: 8.0, value: 0
kg: 8.1, value: 0
kg: 8.2, value: 0
kg: 8.3, value: 0
kg: 8.4, value: 0
kg: 8.5, value: 0
kg: 8.6, value: 0
kg: 8.7, value: 0
kg: 8.8, value: 0
kg: 8.9, value: 0
kg: 9.0, value: 0
kg: 9.1, value: 0
kg: 9.2, value: 0
kg: 9.3, value: 0
kg: 9.4, value: 0
kg: 9.5, value: 0
kg: 9.6, value: 0
kg: 9.7, value: 0
kg: 9.8, value: 0
kg: 9.9, value: 0
